date,austria,belgium,czechrepublic,denmark,france,germany,greece,hungary,italy,norway,poland,russia,spain,sweden,unitedkingdom,unitedstates
2019-12-31,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1
2020-01-22,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1
2020-01-23,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1
2020-01-24,0,0,0,0,0,0,0,,0,0,,0,0,0,0,1
2020-01-25,0,0,0,0,3,0,0,,0,0,,0,0,0,0,2
2020-01-26,0,0,0,0,3,0,0,,0,0,,0,0,0,0,2
2020-01-27,0,0,0,0,3,0,0,,0,0,,0,0,0,0,5
2020-01-28,0,0,0,0,3,1,0,,0,0,,0,0,0,0,5
2020-01-29,0,0,0,0,4,4,0,,0,0,,0,0,0,0,5
2020-01-30,0,0,0,0,5,4,0,,0,0,,0,0,0,0,5
2020-01-31,0,0,0,0,6,5,0,,3,0,,0,0,0,2,6
2020-02-01,0,0,0,0,6,7,0,,3,0,,2,1,1,2,7
2020-02-02,0,0,0,0,6,8,0,,3,0,,2,1,1,2,8
2020-02-03,0,0,0,0,6,9,0,,3,0,,2,1,1,2,11
2020-02-04,0,1,0,0,6,11,0,,3,0,,2,1,1,2,11
2020-02-05,0,1,0,0,6,11,0,,3,0,,2,1,1,2,11
2020-02-06,0,1,0,0,6,11,0,,3,0,,2,1,1,2,12
2020-02-07,0,1,0,0,6,12,0,,3,0,,2,1,1,3,12
2020-02-08,0,1,0,0,11,13,0,,3,0,,2,1,1,3,12
2020-02-09,0,1,0,0,11,13,0,,3,0,,2,1,1,4,12
2020-02-10,0,1,0,0,11,13,0,,3,0,,2,2,1,4,12
2020-02-11,0,1,0,0,11,13,0,,3,0,,2,2,1,8,13
2020-02-12,0,1,0,0,11,15,0,,3,0,,2,2,1,8,13
2020-02-13,0,1,0,0,11,15,0,,3,0,,2,2,1,9,14
2020-02-14,0,1,0,0,11,15,0,,3,0,,2,2,1,9,15
2020-02-15,0,1,0,0,11,15,0,,3,0,,2,2,1,9,15
2020-02-16,0,1,0,0,11,15,0,,3,0,,2,2,1,9,15
2020-02-17,0,1,0,0,12,15,0,,3,0,,2,2,1,9,15
2020-02-18,0,1,0,0,12,15,0,,3,0,,2,2,1,9,15
2020-02-19,0,1,0,0,12,15,0,,3,0,,2,2,1,9,15
2020-02-20,0,1,0,0,12,15,0,,3,0,,2,2,1,9,15
2020-02-21,0,1,0,0,12,15,0,,3,0,,2,2,1,9,16
2020-02-22,0,1,0,0,12,15,0,,17,0,,2,2,1,9,35
2020-02-23,0,1,0,0,12,15,0,,79,0,,2,2,1,9,35
2020-02-24,0,1,0,0,12,15,0,,132,0,,2,2,1,13,35
2020-02-25,0,1,0,0,12,15,0,,229,0,,2,3,1,13,53
2020-02-26,2,1,0,0,14,17,0,,322,0,,2,7,1,13,53
2020-02-27,2,1,0,1,17,21,1,,400,1,,2,12,2,13,59
2020-02-28,5,1,0,1,38,47,3,,650,4,,2,25,7,16,60
2020-02-29,7,1,0,2,57,57,4,,888,6,,2,34,12,18,66
2020-03-01,10,1,0,3,100,111,7,,1128,15,,2,66,13,23,69
2020-03-02,14,2,3,4,130,129,7,,1689,19,,2,83,14,36,89
2020-03-03,18,8,5,5,178,157,,,1835,25,,3,114,15,40,103
2020-03-04,24,13,5,8,212,196,,,2502,33,1,4,151,24,51,125
2020-03-05,29,23,8,10,285,262,10,2,3089,56,,,200,35,85,159
2020-03-06,41,50,12,20,423,400,32,,3858,86,,,261,61,115,233
2020-03-07,74,109,19,23,613,684,45,4,4636,113,5,10,374,137,163,338
2020-03-08,99,169,26,31,716,847,66,7,5883,147,6,,430,161,206,433
2020-03-09,102,200,32,38,1126,902,73,8,7375,169,11,,589,203,273,554
2020-03-10,131,239,40,113,1412,1139,84,9,9172,192,17,10,1204,248,321,754
2020-03-11,182,267,63,264,1784,1296,90,12,10149,277,22,,1639,326,373,1025
2020-03-12,246,314,94,516,2281,1567,99,13,12462,489,31,25,2140,462,456,1312
2020-03-13,361,399,116,676,2876,2369,133,16,15113,621,49,30,3004,620,590,1663
2020-03-14,504,559,150,804,3661,3062,190,25,17660,621,68,45,4231,775,707,2174
2020-03-15,655,689,214,827,4499,3795,228,31,17750,907,104,59,5753,924,1140,2951
2020-03-16,860,886,298,875,5423,4838,331,39,23980,1077,125,63,7753,1032,1391,3774
2020-03-17,1016,1085,344,932,6633,6012,352,50,27980,1169,177,93,9191,1121,1543,4661
2020-03-18,1332,1243,434,1024,7730,7156,387,50,31506,1308,238,114,11178,1167,1950,6427
2020-03-19,1646,1486,522,1115,9134,8198,418,73,35713,1423,287,147,13716,1301,2630,9415
2020-03-20,2196,1795,694,1151,10995,14138,464,85,41035,1552,355,199,17147,1423,3277,14250
2020-03-21,2649,2257,904,1255,12612,18187,495,103,47021,1742,425,253,19980,1623,3983,19624
2020-03-22,3024,2815,995,1326,14459,21463,530,131,53578,1926,536,306,24926,1746,5018,26747
2020-03-23,3631,3401,1165,1395,16018,24774,624,167,59138,2132,634,438,28572,1906,5683,35206
2020-03-24,4486,3743,1236,1460,19856,29212,695,187,63927,2371,749,438,33089,2016,6650,46442
2020-03-25,5282,4269,1394,1591,22302,31554,743,226,69176,2566,901,495,39673,2272,8077,55231
2020-03-26,5888,4937,1654,1724,25233,36508,821,261,74386,2916,1051,658,47610,2510,9529,69194
2020-03-27,7029,6235,2062,1877,29155,42288,892,300,80539,3156,1221,840,56188,2806,11658,85991
2020-03-28,7697,7284,2279,2046,32964,48582,966,343,86498,3581,1389,1036,64059,3046,14543,104686
2020-03-29,8291,9134,2663,2201,37575,52547,1061,408,92472,3845,1638,1264,72248,3447,17089,124665
2020-03-30,8813,10836,2829,2395,40174,57298,1156,447,97689,4102,1862,1534,78797,3700,19522,143025
2020-03-31,9618,11899,3002,2577,44550,61913,1212,447,101739,4226,2055,1836,85195,4028,22141,164620
2020-04-01,10182,12775,3308,2860,52128,67366,1314,492,105792,4447,2311,2337,94417,4435,25150,189618
2020-04-02,10711,13964,3589,3107,56989,73522,1375,525,110574,4665,2554,2777,102136,4947,29474,216721
2020-04-03,11129,15348,3858,3386,59105,73522,1514,585,115242,4935,2946,3548,110238,5466,33718,245540
