date,location,new_cases,new_deaths,total_cases,total_deaths,countryid,hundred_cases,day,total_today,date_today,day_today
17/03/2020,Chile,81,0,156,0,41,1,1,6501,22016,26
18/03/2020,Chile,45,0,201,0,41,1,2,6501,22016,26
19/03/2020,Chile,37,0,238,0,41,1,3,6501,22016,26
20/03/2020,Chile,104,0,342,0,41,1,4,6501,22016,26
21/03/2020,Chile,92,0,434,0,41,1,5,6501,22016,26
22/03/2020,Chile,103,0,537,0,41,1,6,6501,22016,26
23/03/2020,Chile,95,1,632,1,41,1,7,6501,22016,26
24/03/2020,Chile,114,1,746,2,41,1,8,6501,22016,26
25/03/2020,Chile,176,0,922,2,41,1,9,6501,22016,26
26/03/2020,Chile,220,1,1142,3,41,1,10,6501,22016,26
27/03/2020,Chile,164,1,1306,4,41,1,11,6501,22016,26
28/03/2020,Chile,304,1,1610,5,41,1,12,6501,22016,26
29/03/2020,Chile,299,1,1909,6,41,1,13,6501,22016,26
30/03/2020,Chile,230,1,2139,7,41,1,14,6501,22016,26
31/03/2020,Chile,310,1,2449,8,41,1,15,6501,22016,26
01/04/2020,Chile,289,4,2738,12,41,1,16,6501,22016,26
02/04/2020,Chile,293,4,3031,16,41,1,17,6501,22016,26
03/04/2020,Chile,373,2,3404,18,41,1,18,6501,22016,26
04/04/2020,Chile,333,4,3737,22,41,1,19,6501,22016,26
05/04/2020,Chile,424,5,4161,27,41,1,20,6501,22016,26
06/04/2020,Chile,310,7,4471,34,41,1,21,6501,22016,26
07/04/2020,Chile,344,3,4815,37,41,1,22,6501,22016,26
08/04/2020,Chile,301,6,5116,43,41,1,23,6501,22016,26
09/04/2020,Chile,430,5,5546,48,41,1,24,6501,22016,26
10/04/2020,Chile,426,9,5972,57,41,1,25,6501,22016,26
11/04/2020,Chile,529,8,6501,65,41,1,26,6501,22016,26
